Temperature (K);Pressure (MPa);Density (kg/m3);Volume (m3/kg);Internal Energy (kJ/kg);Enthalpy (kJ/kg);Entropy (J/g*K);Cv (J/g*K);Cp (J/g*K);Sound Spd. (m/s);Joule-Thomson (K/MPa);Viscosity (Pa*s);Therm. Cond. (W/m*K);Phase
239.050000000;8.00000000000;1113.03644505;0.000898443177170;118.508203259;125.695748676;0.693242756995;0.952933420286;1.96427685175;863.575498355;-0.0834948365714;0.000188248152968;0.156216411445;liquid
239.100000000;8.00000000000;1112.84610731;0.000898596844100;118.605192660;125.793967413;0.693653585132;0.952874508238;1.96447268172;863.234413876;-0.0832365976750;0.000188102458231;0.156157888870;liquid
239.150000000;8.00000000000;1112.65570745;0.000898750613782;118.702191041;125.892195951;0.694064368356;0.952815642340;1.96466891672;862.893301325;-0.0829779802279;0.000187956887510;0.156099370291;liquid
239.200000000;8.00000000000;1112.46524538;0.000898904486364;118.799198420;125.990434311;0.694475106771;0.952756822622;1.96486555738;862.552160576;-0.0827189835621;0.000187811440658;0.156040855700;liquid
239.250000000;8.00000000000;1112.27472103;0.000899058461994;118.896214818;126.088682514;0.694885800480;0.952698049113;1.96506260434;862.210991504;-0.0824596070079;0.000187666117527;0.155982345087;liquid
239.300000000;8.00000000000;1112.08413429;0.000899212540822;118.993240252;126.186940578;0.695296449587;0.952639321845;1.96526005822;861.869793982;-0.0821998498940;0.000187520917971;0.155923838444;liquid
239.350000000;8.00000000000;1111.89348508;0.000899366722997;119.090274742;126.285208526;0.695707054195;0.952580640847;1.96545791966;861.528567883;-0.0819397115474;0.000187375841843;0.155865335762;liquid
239.400000000;8.00000000000;1111.70277333;0.000899521008667;119.187318308;126.383486377;0.696117614409;0.952522006149;1.96565618929;861.187313083;-0.0816791912934;0.000187230888997;0.155806837032;liquid
239.450000000;8.00000000000;1111.51199893;0.000899675397984;119.284370968;126.481774152;0.696528130332;0.952463417782;1.96585486777;860.846029453;-0.0814182884555;0.000187086059286;0.155748342245;liquid
239.500000000;8.00000000000;1111.32116180;0.000899829891098;119.381432742;126.580071871;0.696938602069;0.952404875776;1.96605395572;860.504716867;-0.0811570023556;0.000186941352565;0.155689851393;liquid
